"lang","class","subject","question","option1","option2","option3","option4","answer","difficulty","topic"
"mr","7","English","ओळ: 'तिने पोर्तुगीजांविरुद्ध लढा दिला.' हे काय दाखवते?","तिचे धैर्य","तिची भीती","तिचा आळस","तिचा लोभ","तिचे धैर्य","easy","Rani Abbakka"
"en","7","English","Extract: 'She united her people to resist foreign rule.' What quality is highlighted?","Unity","Anger","Fear","Laziness","Unity","medium","Rani Abbakka"
"hi","7","English","अंश: 'उन्होंने अपने लोगों को विदेशी शासन का विरोध करने के लिए एकजुट किया।' कौन सा गुण प्रमुख है?","एकता","गुस्सा","डर","आलस्य","एकता","medium","Rani Abbakka"
"mr","7","English","उद्धरण: 'तिने आपल्या लोकांना परकीय शासनाचा विरोध करण्यासाठी एकत्र केले.' कोणता गुण ठळक आहे?","एकता","राग","भीती","आळस","एकता","medium","Rani Abbakka"
"en","7","English","Line: 'She used guerrilla tactics against the Portuguese.' What does this mean?","She fought openly","She used surprise attacks","She surrendered","She avoided war","She used surprise attacks","medium","Rani Abbakka"
"hi","7","English","पंक्ति: 'उन्होंने पुर्तगालियों के खिलाफ गुरिल्ला रणनीति अपनाई।' इसका क्या अर्थ है?","उन्होंने खुलकर लड़ाई की","उन्होंने अचानक हमले किए","उन्होंने आत्मसमर्पण किया","उन्होंने युद्ध से बचा","उन्होंने अचानक हमले किए","medium","Rani Abbakka"
"mr","7","English","ओळ: 'तिने पोर्तुगीजांविरुद्ध गुरिल्ला डावपेच वापरले.' याचा अर्थ काय?","तिने उघडपणे लढा दिला","तिने अचानक हल्ले केले","तिने शरणागती पत्करली","तिने युद्ध टाळले","तिने अचानक हल्ले केले","medium","Rani Abbakka"
"en","7","English","Grammar: Identify the verb in 'Rani Abbakka fought bravely.'","Rani","Abbakka","Fought","Bravely","Fought","easy","Rani Abbakka"
"hi","7","English","व्याकरण: 'रानी अब्बक्का ने बहादुरी से लड़ाई लड़ी।' में क्रिया पहचानें।","रानी","अब्बक्का","लड़ी","बहादुरी से","लड़ी","easy","Rani Abbakka"
"mr","7","English","व्याकरण: 'राणी अब्बक्काने शूरपणे लढा दिला.' मध्ये क्रियापद ओळखा.","राणी","अब्बक्का","लढा दिला","शूरपणे","लढा दिला","easy","Rani Abbakka"
"en","7","English","Extract: 'She became a symbol of resistance.' Which literary device is used?","Metaphor","Simile","Alliteration","Personification","Metaphor","hard","Rani Abbakka"
