topic,question,option1,option2,option3,option4,correct_answer,difficulty,language
Excretion,What is excretion? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Removal of waste (हिंदी),Removal of waste (हिंदी),medium,hi
Excretion,What is excretion? (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Removal of waste (मराठी),Removal of waste (मराठी),medium,mr
Nutrition,What is nutrition?,Incorrect option 3,Incorrect option 1,Incorrect option 2,Process of taking food,Process of taking food,easy,en
Nutrition,What is nutrition? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Process of taking food (हिंदी),Process of taking food (हिंदी),easy,hi
Nutrition,What is nutrition? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Process of taking food (मराठी),Process of taking food (मराठी),easy,mr
Force,What is force?,Incorrect option 2,Incorrect option 3,Push or pull,Incorrect option 1,Push or pull,medium,en
Force,What is force? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Push or pull (हिंदी),Incorrect option 1 (हिंदी),Push or pull (हिंदी),medium,hi
Force,What is force? (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Push or pull (मराठी),Incorrect option 1 (मराठी),Push or pull (मराठी),medium,mr
Mensuration,What is mensuration?,Incorrect option 1,Incorrect option 3,Measurement of shapes,Incorrect option 2,Measurement of shapes,easy,en
Mensuration,What is mensuration? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),Incorrect option 2 (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),Incorrect option 2 (मराठी),Measurement of shapes (मराठी),easy,mr
Algebra,What is algebra?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Use of symbols,Use of symbols,medium,en
Algebra,What is algebra? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Use of symbols (हिंदी),Use of symbols (हिंदी),medium,hi
Algebra,What is algebra? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Use of symbols (मराठी),Use of symbols (मराठी),medium,mr
Electricity,What is electricity?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Flow of charge,Flow of charge,medium,en
Electricity,What is electricity? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Flow of charge (हिंदी),Flow of charge (हिंदी),medium,hi
Electricity,What is electricity? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Flow of charge (मराठी),Flow of charge (मराठी),medium,mr
Electricity,What is electricity?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Flow of charge,Flow of charge,medium,en
Electricity,What is electricity? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Flow of charge (हिंदी),Flow of charge (हिंदी),medium,hi
Electricity,What is electricity? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Flow of charge (मराठी),Flow of charge (मराठी),medium,mr
Motion,What is motion?,Change in position,Incorrect option 2,Incorrect option 3,Incorrect option 1,Change in position,easy,en
Motion,What is motion? (हिंदी),Change in position (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Change in position (हिंदी),easy,hi
Motion,What is motion? (मराठी),Change in position (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Change in position (मराठी),easy,mr
Light,What is light?,Form of energy,Incorrect option 2,Incorrect option 1,Incorrect option 3,Form of energy,medium,en
Light,What is light? (हिंदी),Form of energy (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Form of energy (हिंदी),medium,hi
Light,What is light? (मराठी),Form of energy (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Form of energy (मराठी),medium,mr
Energy,What is energy?,Ability to do work,Incorrect option 3,Incorrect option 1,Incorrect option 2,Ability to do work,medium,en
Energy,What is energy? (हिंदी),Ability to do work (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Ability to do work (हिंदी),medium,hi
Energy,What is energy? (मराठी),Ability to do work (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Ability to do work (मराठी),medium,mr
Data Handling,What is data handling?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Collecting and analyzing data,Collecting and analyzing data,medium,en
Data Handling,What is data handling? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Collecting and analyzing data (हिंदी),Collecting and analyzing data (हिंदी),medium,hi
Data Handling,What is data handling? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Collecting and analyzing data (मराठी),Collecting and analyzing data (मराठी),medium,mr
Force,What is force?,Incorrect option 1,Incorrect option 2,Push or pull,Incorrect option 3,Push or pull,medium,en
Force,What is force? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Push or pull (हिंदी),Incorrect option 3 (हिंदी),Push or pull (हिंदी),medium,hi
Force,What is force? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Push or pull (मराठी),Incorrect option 3 (मराठी),Push or pull (मराठी),medium,mr
Data Handling,What is data handling?,Collecting and analyzing data,Incorrect option 2,Incorrect option 3,Incorrect option 1,Collecting and analyzing data,easy,en
Data Handling,What is data handling? (हिंदी),Collecting and analyzing data (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Collecting and analyzing data (हिंदी),easy,hi
Data Handling,What is data handling? (मराठी),Collecting and analyzing data (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Collecting and analyzing data (मराठी),easy,mr
Fractions,What is a fraction?,Incorrect option 2,Incorrect option 3,Part of a whole,Incorrect option 1,Part of a whole,easy,en
Fractions,What is a fraction? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Part of a whole (हिंदी),Incorrect option 1 (हिंदी),Part of a whole (हिंदी),easy,hi
Fractions,What is a fraction? (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Part of a whole (मराठी),Incorrect option 1 (मराठी),Part of a whole (मराठी),easy,mr
Linear Equations,What is a linear equation?,Equation of degree one,Incorrect option 1,Incorrect option 2,Incorrect option 3,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Equation of degree one (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Equation of degree one (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Equation of degree one (मराठी),medium,mr
Nutrition,What is nutrition?,Process of taking food,Incorrect option 2,Incorrect option 1,Incorrect option 3,Process of taking food,easy,en
Nutrition,What is nutrition? (हिंदी),Process of taking food (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Process of taking food (हिंदी),easy,hi
Nutrition,What is nutrition? (मराठी),Process of taking food (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Process of taking food (मराठी),easy,mr
Algebra,What is algebra?,Incorrect option 1,Use of symbols,Incorrect option 2,Incorrect option 3,Use of symbols,medium,en
Algebra,What is algebra? (हिंदी),Incorrect option 1 (हिंदी),Use of symbols (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Use of symbols (हिंदी),medium,hi
Algebra,What is algebra? (मराठी),Incorrect option 1 (मराठी),Use of symbols (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Use of symbols (मराठी),medium,mr
Electricity,What is electricity?,Incorrect option 2,Incorrect option 3,Flow of charge,Incorrect option 1,Flow of charge,easy,en
